"AOG","20170620","3.17","3.19","3.14","3.15","1409878"
"AOH","20170620","0.135","0.137","0.135","0.135","155077"
"AOK","20170620","0.015","0.015","0.015","0.015","62475"
"AON","20170620","0.20","0.20","0.20","0.20","100000"
"AOP","20170620","0.058","0.058","0.055","0.055","173427"
"AOU","20170620","0.16","0.16","0.16","0.16","7554"
"AOW","20170620","0.017","0.018","0.016","0.016","2063365"
"AOWOA","20170620","0.005","0.005","0.005","0.005","0"
"APA","20170620","9.71","9.74","9.62","9.63","2068676"
"APABOD","20170620","10.15","10.15","10.15","10.15","0"
"APAJOH","20170620","6.05","6.05","6.05","6.05","0"
"APAJOZ","20170620","4.33","4.33","4.33","4.33","0"
"APAKOB","20170620","2.70","2.70","2.70","2.70","0"
"APAKOD","20170620","1.575","1.575","1.575","1.575","0"
"APAKOP","20170620","3.71","3.71","3.71","3.71","0"
"APAKOR","20170620","3.57","3.57","3.57","3.57","0"
"APC","20170620","0.12","0.12","0.11","0.12","425049"
"APD","20170620","0.38","0.382","0.38","0.382","58687"
"APE","20170620","7.86","8.075","7.86","8.00","115177"
"APG","20170620","0.006","0.006","0.006","0.006","90000"
"API","20170620","1.90","1.91","1.87","1.875","1497152"
"APL","20170620","1.20","1.21","1.20","1.21","519132"
"APLO","20170620","0.10","0.10","0.098","0.10","332203"
"APO","20170620","4.57","4.71","4.54","4.64","968094"
"APOKOB","20170620","0.85","0.85","0.85","0.85","0"
"APOKOD","20170620","1.40","1.40","1.40","1.40","3500"
"APOKOP","20170620","3.10","3.10","3.10","3.10","0"
"APOKOQ","20170620","1.30","1.30","1.30","1.30","0"
"APOKOR","20170620","2.27","2.27","2.27","2.27","0"
"APW","20170620","1.50","1.50","1.50","1.50","10583"
"APX","20170620","3.84","3.87","3.78","3.85","511112"
"APY","20170620","0.011","0.011","0.011","0.011","66000"
"APZ","20170620","1.08","1.095","1.05","1.09","31174"
"AQC","20170620","0.007","0.007","0.007","0.007","3774308"
"AQD","20170620","0.013","0.013","0.013","0.013","976926"
"AQDOA","20170620","0.001","0.001","0.001","0.001","0"
"AQF","20170620","1.91","1.91","1.91","1.91","0"
"AQG","20170620","2.24","2.28","2.23","2.27","256589"
"AQHHA","20170620","103.15","103.60","103.15","103.20","1830"
"AQI","20170620","0.17","0.18","0.17","0.17","130957"
"AQJ","20170620","0.001","0.001","0.001","0.001","0"
"AQQ","20170620","0.022","0.022","0.019","0.02","845326"
"AQS","20170620","0.05","0.05","0.05","0.05","0"
"AQU","20170620","0.10","0.10","0.10","0.10","0"
"AQX","20170620","0.048","0.05","0.048","0.05","725612"
"AQXO","20170620","0.015","0.016","0.015","0.016","2000075"
"AQZ","20170620","0.93","0.955","0.93","0.955","1951912"
"AR1","20170620","0.015","0.015","0.015","0.015","0"
"ARA","20170620","0.78","0.78","0.78","0.78","0"
"ARB","20170620","15.84","16.07","15.83","15.99","115169"
"ARC","20170620","0.50","0.50","0.50","0.50","0"
"ARCO","20170620","0.14","0.14","0.14","0.14","0"
"ARD","20170620","0.031","0.031","0.029","0.031","35830"
"ARDO","20170620","0.008","0.008","0.008","0.008","0"
"ARE","20170620","0.006","0.006","0.006","0.006","710000"
"ARF","20170620","2.37","2.38","2.32","2.34","121767"
"ARG","20170620","7.64","7.65","7.61","7.62","236743"
"ARGJOH","20170620","2.53","2.53","2.53","2.53","0"
"ARGJOM","20170620","1.11","1.11","1.11","1.11","0"
"ARGJOZ","20170620","3.84","3.84","3.84","3.84","0"
"ARH","20170620","0.005","0.005","0.005","0.005","0"
"ARI","20170620","0.022","0.022","0.022","0.022","0"
"ARIKOD","20170620","0.02","0.02","0.02","0.02","0"
"ARIKOP","20170620","0.195","0.195","0.195","0.195","0"
"ARIKOT","20170620","0.325","0.325","0.325","0.325","0"
"ARIKOW","20170620","0.65","0.65","0.65","0.65","0"
"ARL","20170620","0.55","0.575","0.55","0.555","99524"
"ARM","20170620","0.043","0.045","0.043","0.044","245500"
"ARO","20170620","0.002","0.002","0.002","0.002","0"
"ARS","20170620","0.038","0.038","0.038","0.038","0"
"ARU","20170620","0.055","0.055","0.054","0.054","614272"
"ARV","20170620","0.076","0.08","0.074","0.08","1403199"
"ARVO","20170620","0.05","0.051","0.05","0.051","485395"
"ARX","20170620","0.515","0.515","0.515","0.515","0"
"ASB","20170620","1.815","1.86","1.815","1.855","195853"
"ASG","20170620","1.86","1.90","1.86","1.86","120207"
"ASH","20170620","0.065","0.065","0.065","0.065","0"
"ASL","20170620","1.64","1.655","1.57","1.62","327775"
"ASN","20170620","0.019","0.019","0.019","0.019","409842"
"ASNOA","20170620","0.001","0.001","0.001","0.001","918372"
"ASP","20170620","0.007","0.007","0.007","0.007","0"
"AST","20170620","1.76","1.77","1.74","1.745","5704499"
"ASTKOB","20170620","0.28","0.28","0.28","0.28","0"
"ASTKOC","20170620","0.315","0.315","0.315","0.315","0"
"ASW","20170620","0.78","0.78","0.77","0.77","33328"
"ASX","20170620","52.41","52.72","52.20","52.20","252822"
"ASXIOV","20170620","26.84","26.84","26.84","26.84","0"
"ASXIOZ","20170620","17.93","17.93","17.93","17.93","0"
"ASXIYF","20170620","21.07","21.07","21.07","21.07","0"
"ASXJOM","20170620","21.05","21.05","21.05","21.05","0"
"ASXJON","20170620","31.32","31.32","31.32","31.32","100"
"ASXKOA","20170620","8.89","8.89","8.89","8.89","0"
"ASXKOB","20170620","7.56","7.56","7.56","7.56","0"
"ASXKOC","20170620","6.69","6.69","6.69","6.69","0"
"ASXKOS","20170620","9.04","9.04","9.04","9.04","0"
"ASXSMB","20170620","21.60","21.60","21.60","21.60","0"
"ASXSMY","20170620","22.13","22.13","22.13","22.13","0"
"ASXSO1","20170620","17.22","17.22","17.22","17.22","0"
